request_type,issue,department_data_311,department_categories,requests,category_categories,category,department
procedure,procedure,PCSC,Human Resources and Civil Service Commission,14,Personnel (City),Personnel (City),Human Resources and Civil Service Commission
program,program,Parks & Recs-Programs,Parks & Recs-Programs,75,Parks Issues,Parks Issues,Parks & Recs-Programs
property purchase,property purchase,Finance,Finance,2,Taxes,Taxes,Finance
prostitution,NA,,,71,,Public Safety,Unknown
pruning (city tree),pruning (city tree),DPW - Forestry Division,DPW - Forestry Division,3530,Tree Issues,Tree Issues,DPW - Forestry Division
public right of way,public right of way,DPW - Street Maintenance,DPW - Street Maintenance,1213,Weeds/Debris,Weeds/Debris,DPW - Street Maintenance
public works department,public works department,DPW - Administration,DPW - Administration,266,Ask Us/General FAQs,Ask Us/General FAQs,DPW - Administration
pwsa billing or shut off,NA,Pittsburgh Water and Sewer Authority,,370,,Utility Issues,Pittsburgh Water and Sewer Authority
question,NA,311,,352,,Ask Us/General FAQs,311
real estate tax,real estate tax,Finance,Finance,72,Business Issues,Business Issues,Finance
real estate tax,real estate tax,Finance,Finance,72,Taxes,Taxes,Finance
recycling,recycling,DPW - Refuse,DPW - Refuse,204,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
referral,NA,311,,292,,Unknown,311
refuse violations,NA,DPW - Refuse,,6789,,Garbage and Litter Issues,DPW - Refuse
replace/repair a sign,replace/repair a sign,DOMI - TrafficShop,DPW - Traffic,5248,Road/Street Issues,Road/Street Issues,DPW - Traffic
replace/repair a sign,replace/repair a sign,DPW - Traffic,DPW - Traffic,2,Road/Street Issues,Road/Street Issues,DPW - Traffic
replace/repair sign,NA,DOMI - TrafficShop,,201,,Road/Street Issues,DOMI - TrafficShop
request new sign,request new sign,DOMI - Traffic,DPW - Transportation & Engineering,2658,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
request new sign,request new sign,,DPW - Transportation & Engineering,54,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
residency,residency,OMI,Office of Municipal Investigations,8,Personnel (City),Personnel (City),Office of Municipal Investigations
retaining wall,retaining wall,DPW - Construction Division,DPW - Construction Division,85,Road/Street Issues,Road/Street Issues,DPW - Construction Division
